Text Length,Pattern Length,Algorithm,Average Time (s),Min Time (s),Max Time (s)
100510,21,Boyer-Moore,0.00078871488571167,0.00066375732421875,0.0022971630096435547
100510,21,Brute Force,0.009401814937591553,0.00840139389038086,0.013157129287719727
100510,10,KMP,0.008814692497253418,0.007969141006469727,0.01128387451171875
100510,10,Boyer-Moore,0.0014906907081604004,0.0013682842254638672,0.0034186840057373047
100510,10,Brute Force,0.009647438526153565,0.008433103561401367,0.012858152389526367
100510,5,KMP,0.008587946891784668,0.007935762405395508,0.012399911880493164
100510,5,Boyer-Moore,0.0033690595626831056,0.0023686885833740234,0.007141828536987305
100510,5,Brute Force,0.009280564785003663,0.008385896682739258,0.01342630386352539
100510,24,KMP,0.008592119216918945,0.007874011993408203,0.013790130615234375
100510,24,Boyer-Moore,0.0002462291717529297,0.00023984909057617188,0.0002930164337158203
100510,24,Brute Force,0.0025402641296386717,0.0023076534271240234,0.005376338958740234
200996,42,KMP,0.01759650945663452,0.015902280807495117,0.024006128311157227
200996,42,Boyer-Moore,0.0008219528198242187,0.0007431507110595703,0.0013492107391357422
200996,42,Brute Force,0.022661345005035402,0.017136335372924805,0.04083871841430664
200996,21,KMP,0.020220468044281004,0.016309022903442383,0.04305100440979004
200996,21,Boyer-Moore,0.0014526581764221192,0.0013315677642822266,0.002796173095703125
200996,21,Brute Force,0.02055701494216919,0.016916513442993164,0.039459943771362305
200996,10,KMP,0.020362911224365236,0.01647806167602539,0.03531646728515625
200996,10,Boyer-Moore,0.003144574165344238,0.0027458667755126953,0.006876707077026367
200996,10,Brute Force,0.019995660781860353,0.016994953155517578,0.03808140754699707
200996,5,KMP,0.021636254787445068,0.016426563262939453,0.03748893737792969
200996,5,Boyer-Moore,0.0056560468673706055,0.004746198654174805,0.011704683303833008
200996,5,Brute Force,0.018817603588104248,0.016832828521728516,0.029436826705932617
200996,24,KMP,0.01778635263442993,0.01584768295288086,0.02791738510131836
200996,24,Boyer-Moore,0.001070847511291504,0.0009074211120605469,0.0027608871459960938
200996,24,Brute Force,0.0101002836227417,0.009171485900878906,0.014366865158081055
1004879,42,KMP,0.08956357479095459,0.08185815811157227,0.15912890434265137
1004879,42,Boyer-Moore,0.00414426326751709,0.0036885738372802734,0.007386922836303711
1004879,42,Brute Force,0.0935937523841858,0.0852365493774414,0.1364433765411377
1004879,21,KMP,0.08429665088653565,0.08006954193115234,0.09561944007873535
1004879,21,Boyer-Moore,0.007134556770324707,0.006592750549316406,0.008339166641235352
1004879,21,Brute Force,0.09002111434936523,0.08484745025634766,0.10703301429748535
1004879,10,KMP,0.08678289413452149,0.08020257949829102,0.1011497974395752
1004879,10,Boyer-Moore,0.014359514713287353,0.013575315475463867,0.01662898063659668
1004879,10,Brute Force,0.08859075546264648,0.08552169799804688,0.09428644180297852
1004879,5,KMP,0.0832512640953064,0.08097004890441895,0.08737730979919434
1004879,5,Boyer-Moore,0.025133039951324463,0.023822546005249023,0.02821803092956543
1004879,5,Brute Force,0.08848332405090333,0.08468103408813477,0.09308481216430664
1004879,24,KMP,0.08224369287490844,0.07904291152954102,0.09486985206604004
1004879,24,Boyer-Moore,0.007318134307861328,0.006975650787353516,0.008318662643432617
1004879,24,Brute Force,0.07628466844558716,0.0723886489868164,0.08484959602355957
2009765,42,KMP,0.2325912308692932,0.1620945930480957,0.40482306480407715
2009765,42,Boyer-Moore,0.011732697486877441,0.007446765899658203,0.023050308227539062
2009765,42,Brute Force,0.2489136815071106,0.1768326759338379,0.38880181312561035
2009765,21,KMP,0.19889326572418212,0.16668987274169922,0.29689621925354004
2009765,21,Boyer-Moore,0.015777385234832762,0.013377904891967773,0.025818347930908203
2009765,21,Brute Force,0.19264147758483888,0.1768496036529541,0.2788848876953125
2009765,10,KMP,0.17939915180206298,0.16585159301757812,0.22957158088684082
2009765,10,Boyer-Moore,0.03100641965866089,0.027644872665405273,0.04516243934631348
2009765,10,Brute Force,0.1908203649520874,0.17331862449645996,0.2490096092224121
2009765,5,KMP,0.18037478685379027,0.16762542724609375,0.2679438591003418
2009765,5,Boyer-Moore,0.05298486709594727,0.04872846603393555,0.08311915397644043
2009765,5,Brute Force,0.19061654806137085,0.17327475547790527,0.2783064842224121
2009765,24,KMP,0.17511668920516968,0.16273856163024902,0.2017064094543457
2009765,24,Boyer-Moore,0.013878259658813476,0.011754989624023438,0.028872013092041016
2009765,24,Brute Force,0.13447775363922118,0.12494206428527832,0.1967167854309082
